tags,context,found_helpful_data-review_yes_count,found_helpful_data-review_total_count,recommendation,review,reviewed_on,is_online_consult,recommends,patient_name,reply_text,replied_at,replier_name
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,","Paediatric care,",0,0,YES,"Dr.Pratheebha was excellent, ************** sensitive, informative. really took his time to explain my baby health condition with me as well as with treatment options. Value for the money. Highly recommended.",2021-10-29 03:49:37,False,True,Hema Patient,My pleasure 👍,2021-11-08T08:08:29+0000,Dr. Pratheeba
,,0,0,YES,"**** **************Kind doctor
Explains well about the disease
Reasonable fee
Clarifies all doubts

",2021-10-09 08:01:30,False,True,Aisha ,Thank you. My pleasure.,2021-10-09T08:20:23+0000,Dr. Pratheeba
"Treatment satisfaction,","stomach and intestinal infections,",0,0,YES,Very nice approach **** ******** iam very happy thank you  hospital near my place iam very happy my babys also happy,2021-11-07 09:09:37,False,True,Verified Patient,,,
,,0,0,YES,She has been my kids pediatrician since their birth! She is a very soft natured person which makes the kids to adapt to medical procedure easily! She reassures the parents confidence and makes us not to worry about our kids. ,2021-10-09 10:33:45,False,True,Verified Patient,Thank you so much 😀,2021-10-09T11:52:03+0000,Dr. Pratheeba
,,0,0,YES,"Very kind doctor.        
 Explained the illness well.     
Reasonable fee.     
Will recommend again.    ",2021-10-09 08:02:02,False,True,Verified Patient,Thank you my pleasure.,2021-10-09T08:20:41+0000,Dr. Pratheeba
